"","year","location_abbr","state","effective_date","geo_location"
"13148",2016,"IN","indiana","7/1/2013","(39.766910452000445, -86.14996019399968)"
"13149",2016,"ID","idaho","7/1/2012","(43.682630005000476, -114.3637300419997)"
"13150",2016,"HI","hawaii","6/27/2013","(21.304850435000446, -157.85774940299973)"
"13151",2016,"OH","ohio","8/2/2014","(40.06021014100048, -82.40426005599966)"
"13152",2016,"FL","florida","7/1/2014","(28.932040377000476, -81.92896053899966)"
"13153",2016,"OR","oregon","5/26/2015","(44.56744942400047, -120.15503132599969)"
"13154",2016,"NJ","new jersey","3/12/2010","(40.13057004800049, -74.27369128799967)"
"13155",2016,"VT","vermont",NA,"(43.62538123900049, -72.51764079099962)"
"13156",2016,"AK","alaska",NA,"(64.84507995700051, -147.72205903599973)"
"13157",2016,"VT","vermont",NA,"(43.62538123900049, -72.51764079099962)"
"13158",2016,"AR","arkansas","5/1/2015","(34.74865012400045, -92.27449074299966)"
"13159",2016,"DE","delaware","6/12/2014","(39.008830667000495, -75.57774116799965)"
"13160",2016,"ME","maine",NA,"(45.254228894000505, -68.98503133599962)"
